1/6 22:18:02.009  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,1
1/6 22:24:08.595  SPELL_CAST_FAILED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,93402,"Sunfire",0x8,"Not yet recovered"
1/6 22:24:08.698  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1074807,1100000,0,748.23,1315.60,945,264338,264338,0,nil
1/6 22:24:09.818  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,93402,"Sunfire",0x8,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1085451,1100000,26400,748.23,1315.60,945
1/6 22:24:09.821  SPELL_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,734.16,1281.27,83,10158370,10158369,8,0,0,0,1,nil,nil
1/6 22:24:09.821  SPELL_AURA_REFRESH,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,DEBUFF
1/6 22:24:09.904  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1059051,1100000,0,748.23,1315.60,945,528677,528677,0,nil
1/6 22:24:09.974  SPELL_CAST_FAILED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,93402,"Sunfire",0x8,"Not yet recovered"
1/6 22:24:10.234  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,734.16,1281.27,83,5079251,5079250,8,0,0,0,1,nil,nil
1/6 22:24:11.063  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,8921,"Moonfire",0x40,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1070884,1100000,13200,748.23,1315.60,945
1/6 22:24:11.063  SPELL_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,734.16,1281.27,83,5079185,5079184,64,0,0,0,nil,nil,nil
1/6 22:24:11.063  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,DEBUFF
1/6 22:24:11.079  SPELL_CAST_FAILED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,8921,"Moonfire",0x40,"Not yet recovered"
1/6 22:24:11.119  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1057684,1100000,0,748.23,1315.60,945,528681,528681,0,nil
1/6 22:24:11.876  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,734.16,1281.27,83,2539626,2539625,8,0,0,0,nil,nil,nil
1/6 22:24:12.296  SPELL_CAST_START,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,5176,"Solar Wrath",0x8
1/6 22:24:12.315  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1057684,1100000,0,748.23,1315.60,945,132171,132171,0,nil
1/6 22:24:12.715  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,734.16,1281.27,83,2539625,2539624,64,0,0,0,nil,nil,nil
1/6 22:24:13.335  SPELL_CAST_START,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
1/6 22:24:13.526  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,737.11,1288.48,83,2539626,2539625,8,0,0,0,nil,nil,nil
1/6 22:24:13.537  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1073536,1100000,0,748.23,1315.60,945,264342,264342,0,nil
1/6 22:24:13.537  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1081282,1100000,0,748.23,1315.60,945
1/6 22:24:13.537  SPELL_CAST_START,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,5176,"Solar Wrath",0x8
1/6 22:24:14.373  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,740.08,1295.71,83,5079251,5079250,64,0,0,0,1,nil,nil
1/6 22:24:14.674  SPELL_CAST_SUCCESS,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,585,"Smite",0x2,Player-47-0781E030,0000000000000000,26316,26316,0,705,0,26400,26400,132,744.45,1321.29,262
1/6 22:24:14.674  SPELL_AURA_APPLIED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,208772,"Smite",0x2,DEBUFF
1/6 22:24:14.674  SPELL_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,585,"Smite",0x2,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,740.08,1295.71,83,14735,14734,2,0,0,0,1,nil,nil
1/6 22:24:14.707  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,94472,"Atonement",0x2,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1081282,1100000,0,748.23,1315.60,945,3437,3437,0,1
1/6 22:24:14.748  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1092696,1100000,0,748.23,1315.60,945,264342,264342,0,nil
1/6 22:24:14.786  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1093096,1100000,0,748.23,1315.60,945
1/6 22:24:14.957  SPELL_CAST_START,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,5176,"Solar Wrath",0x8
1/6 22:24:14.998  SPELL_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,740.08,1295.71,83,11324332,11324331,8,0,0,0,nil,nil,nil
1/6 22:24:15.180  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,740.08,1295.71,83,5079251,5079250,8,0,0,0,1,nil,nil
1/6 22:24:15.830  SPELL_CAST_START,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
1/6 22:24:15.950  SPELL_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,740.08,1295.71,83,20138346,20138345,8,0,0,0,1,nil,nil
1/6 22:24:15.960  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1093096,1100000,0,748.23,1315.60,945,1901769,1901769,0,nil
1/6 22:24:16.021  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,740.87,1296.07,83,2539625,2539624,64,0,0,0,nil,nil,nil
1/6 22:24:16.211  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,748.23,1315.60,945
1/6 22:24:16.211  SPELL_CAST_START,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,5176,"Solar Wrath",0x8
1/6 22:24:16.251  SPELL_CAST_FAILED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,5176,"Solar Wrath",0x8,"Another action is in progress"
1/6 22:24:16.824  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,751.70,1300.96,83,2539625,2539624,8,0,0,0,nil,nil,nil
1/6 22:24:17.174  SPELL_CAST_SUCCESS,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,585,"Smite",0x2,Player-47-0781E030,0000000000000000,26316,26316,0,705,0,26400,26400,132,744.45,1321.29,262
1/6 22:24:17.174  SPELL_AURA_REFRESH,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,208772,"Smite",0x2,DEBUFF
1/6 22:24:17.174  SPELL_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,585,"Smite",0x2,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,7368,7367,2,0,0,0,nil,nil,nil
1/6 22:24:17.174  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,748.23,1315.60,945,264342,264342,0,nil
1/6 22:24:17.196  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,81751,"Atonement",0x2,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,748.23,1315.60,945,1718,1718,0,nil
1/6 22:24:17.448  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,748.23,1315.60,945
1/6 22:24:17.448  SPELL_CAST_START,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,5176,"Solar Wrath",0x8
1/6 22:24:17.668  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,2539626,2539625,64,0,0,0,nil,nil,nil
1/6 22:24:17.681  SPELL_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,18745734,18745733,8,0,0,0,1,nil,nil
1/6 22:24:18.394  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,748.23,1315.60,945,1107765,1107765,0,nil
1/6 22:24:18.484  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,2539626,2539625,8,0,0,0,nil,nil,nil
1/6 22:24:18.688  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,748.23,1315.60,945
1/6 22:24:19.301  SPELL_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,10160786,10160785,8,0,0,0,nil,nil,nil
1/6 22:24:19.323  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,5079251,5079250,64,0,0,0,1,nil,nil
1/6 22:24:19.594  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,748.23,1315.60,945,925315,925315,0,nil
1/6 22:24:20.131  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,2539625,2539624,8,0,0,0,nil,nil,nil
1/6 22:24:20.537  SPELL_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,5176,"Solar Wrath",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,9484404,9484403,8,0,0,0,nil,nil,nil
1/6 22:24:20.807  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,748.23,1315.60,945,625772,625772,0,nil
1/6 22:24:20.967  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,2539626,2539625,64,0,0,0,nil,nil,nil
1/6 22:24:21.781  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164815,"Sunfire",0x8,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,2539625,2539624,8,0,0,0,nil,nil,nil
1/6 22:24:22.011  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,67272,0,1100000,1100000,0,744.16,1317.52,945,264342,264342,0,nil
1/6 22:24:22.632  SPELL_PERIODIC_DAMAGE,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Creature-0-3022-616-21211-28859-00005192C9,"Malygos",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-3022-616-21211-28859-00005192C9,0000000000000000,1,3548000,0,0,0,425800,425800,0,754.00,1302.00,83,2539625,2539624,64,0,0,0,nil,nil,nil
